run,t,S
0,187,45.57518908605946
0,188,69.20675469947234
0,189,44.257232674673965
0,190,42.41327729167304
0,191,46.19082256016688
0,192,44.5448554427234
0,193,46.46282032508957
0,194,46.68200509591668
0,195,47.382311185873654
0,196,48.063257964535005
0,197,85.51643037722528
0,198,37.9553501898201
0,199,45.18843517148537
0,200,49.42897153644822
0,201,46.5142026457365
0,202,42.91611057510128
0,203,43.459221963088304
0,204,19.929920380895997
0,205,43.05121145613115
0,206,48.870839039142915
0,207,8.255426120284943
0,208,41.4959762243328
0,209,36.24620648181117
0,210,43.84190238901758
0,211,77.32973867240963
0,212,46.50173751683855
0,213,45.721671075196475
0,214,51.627539452242615
0,215,33.624316957803835
0,216,22.594237669924524
0,217,42.39574926278241
0,218,40.18553558390738
0,219,43.38187244697915
0,220,40.663057711014474
0,221,40.57755353196023
0,222,42.92907248847162
0,223,21.64783317646653
0,224,7.5515224485642936
0,225,39.78408248263438
0,226,43.717363746530765
0,227,42.09332398711437
0,228,45.05150132113412
0,229,40.055584220049255
0,230,35.1408320443468
0,231,53.319779347825516
0,232,50.9853781005588
0,233,38.5355076912373
0,234,45.1064136744264
0,235,21.252622101222002
0,236,58.58344694948321
0,237,46.89499654560876
0,238,47.51682587506041
0,239,43.284062003593085
0,240,44.96818084987586
0,241,14.17678002070459
0,242,44.00135666484689
0,243,38.402290138600854
0,244,42.52373494632928
0,245,39.35502448230154
0,246,15.5315626401114
0,247,38.52556554570818
0,248,43.05880677576976
0,249,33.49734916287132
0,250,48.5734502422049
0,251,43.73501211280259
0,252,42.075058720127934
0,253,48.69021583218936
0,254,42.91939383015616
0,255,29.66652544509131
0,256,13.46077842831265
0,257,46.53964773338182
0,258,40.0980971696416
0,259,71.72603347281688
0,260,45.05465867570708
0,261,70.82034906141403
0,262,39.57725361295826
0,263,44.69121601624875
0,264,42.166639627251335
0,265,50.53447489649363
0,266,39.74838811583738
0,267,40.50103701839712
0,268,34.08997667726145
0,269,50.694215398991425
0,270,59.50159975874531
0,271,9.814575163813156
0,272,44.658899567674
0,273,41.529493792646
0,274,8.602486997830024
0,275,42.30193764644813
0,276,46.23466923352273
0,277,46.78239851892038
0,278,29.82938534572371
0,279,57.190503311715325
0,280,43.6796095717406
0,281,28.9520928225167
0,282,44.35657224416019
0,283,45.34818391029934
0,284,65.78922481702966
0,285,43.12510260503677
0,286,47.31408360376183
0,287,44.83191095667015
0,288,41.64012752235688
0,289,37.97872569279184
0,290,46.966407319223826
0,291,42.811394685320174
0,292,51.300352444449125
0,293,42.015967643193925
0,294,45.51036366676774
0,295,62.679476617150094
0,296,47.62855122534976
0,297,29.075596228239906
0,298,72.34816706511023
0,299,42.90938070897643
0,300,40.068897026606855
0,301,58.942499971433875
0,302,21.12861492909693
0,303,40.681331950610875
0,304,43.103555075591366
0,305,17.974485645797905
0,306,39.5226398525713
0,307,45.70136858266342
0,308,43.63384996003292
0,309,24.441886280642795
0,310,7.084165643561876
0,311,42.58949285478279
0,312,36.38550357452778
0,313,42.30767460776218
0,314,45.51419177354988
0,315,69.07929025173038
0,316,42.72735758256932
0,317,39.89659828398362
0,318,12.701327190218619
0,319,41.887393917813895
0,320,27.546951800584054
0,321,7.350584621172774
0,322,38.81294983261103
0,323,59.51846138586157
0,324,50.30118003862407
0,325,46.48322701525374
0,326,43.001083017369105
0,327,40.391770952708505
0,328,40.36344819572409
0,329,32.73555294053497
0,330,21.669611033120084
0,331,40.810901061475
0,332,20.337309101948314
0,333,42.15666538084779
0,334,40.410771815369166
0,335,38.69560082767209
0,336,12.302776362994148
0,337,27.722339543582105
0,338,37.95012483923327
0,339,9.054957717533389
0,340,36.23342113437802
0,341,42.703611344141535
0,342,38.99199038943384
0,343,22.682588156455274
0,344,42.56163749297644
0,345,38.998139289234885
0,346,36.99671249284194
0,347,41.989793572476245
0,348,36.77344047762511
0,349,43.30934315303399
0,350,6.47862751267479
0,351,45.65023666129244
0,352,71.19790091778968
0,353,39.795685101762636
0,354,42.91142354850538
0,355,39.44479322490736
0,356,39.34757294489842
0,357,11.140199800236685
0,358,38.131639855532846
0,359,50.292811186894156
0,360,26.535240056691023
0,361,41.15285678108357
0,362,45.152559597064766
0,363,38.728095048648775
0,364,41.790869313561224
0,365,37.45171058828106
0,366,66.10937902448809
0,367,43.91891252592311
0,368,40.28098013199445
0,369,40.865293835166774
0,370,38.64512558039163
0,371,47.514731262884446
0,372,34.9048209386726
0,373,41.26632577295357
0,374,41.24461533544119
0,375,7.9610349424006905
0,376,37.17736799265057
0,377,42.24808779060456
0,378,71.62574399184686
0,379,33.74295088265416
0,380,14.836324617312378
0,381,43.05406389663496
0,382,41.389485876917135
0,383,26.552673441539802
0,384,25.22525307544896
0,385,23.343061638315124
0,386,41.55933075620079
0,387,15.609345274222688
0,388,28.71376172458536
0,389,15.53436680328658
0,390,41.95055603687413
0,391,15.325454779802397
0,392,37.9946878237814
0,393,38.181336939270366
0,394,34.907882790668125
0,395,33.14390623726593
0,396,36.36831618814372
0,397,11.822447179293892
0,398,43.95153529779263
0,399,32.93083013873522
0,400,37.18126524195502
0,401,21.479688326013175
0,402,36.61348019107303
0,403,41.03565058349397
0,404,40.759616289297384
0,405,27.943917619218027
0,406,6.7241153656836445
0,407,41.94300826435835
0,408,31.99536085080862
0,409,32.57834542307313
0,410,14.920421829402315
0,411,32.9156034747491
0,412,19.676354365962144
0,413,35.25942762026872
0,414,44.50345983784711
0,415,39.75047451440433
0,416,11.568781011346925
0,417,32.81240266238572
0,418,39.42686534658661
0,419,5.529467228811237
0,420,18.50386938096191
0,421,30.0034621786944
0,422,7.192477851216098
0,423,8.112747626998598
0,424,36.11903527535905
0,425,4.614407641447924
0,426,38.72276463765131
0,427,23.140275934901375
0,428,19.635007655132714
0,429,11.437997121226722
0,430,66.50937060332573
0,431,38.77424091661538
0,432,51.072349205677085
0,433,39.17044086346773
0,434,9.13486679203645
0,435,14.357768201815146
0,436,32.38432522138063
0,437,35.23628897138776
0,438,14.034171912645
0,439,37.638735861855004
0,440,41.29956606518673
0,441,45.68982907090206
0,442,40.734834314050545
0,443,34.498474856144426
0,444,40.42217044692352
0,445,40.445292963127756
0,446,43.68904779634342
0,447,9.835089195542645
0,448,8.886991277781918
0,449,10.31508605844645
0,450,27.511728652253208
0,451,31.83097939350103
0,452,36.81857894985843
0,453,36.16421928001016
0,454,19.67617927466909
0,455,27.64991363560186
0,456,7.044367909968668
0,457,6.75799017250658
0,458,33.774467024720245
0,459,37.77197454731804
0,460,34.43884322993046
0,461,6.789203878880799
0,462,16.9841046853395
0,463,41.05223852043572
0,464,22.046060802255045
0,465,34.01819624007123
0,466,33.150122463207786
0,467,12.687368623821868
0,468,36.184151009060265
