onboard,engage,source,target,t,intimacy
False,False,4,6,18,0.9052869546929831
False,False,3,6,18,2.836118605664163
False,False,6,9,18,0.9327180547071353
False,False,12,2,18,0.9327180547071353
False,False,7,5,18,0.9514656876067488
False,False,7,6,18,0.9514656876067488
False,False,7,12,18,0.9514656876067488
False,False,13,3,18,0.9609803444828162
False,False,13,12,18,0.9609803444828162
False,False,2,4,18,0.9705901479276444
False,False,12,3,18,0.9705901479276444
False,False,12,7,18,0.9705901479276444
False,False,14,6,18,0.9705901479276444
False,False,14,9,18,0.9705901479276444
False,False,1,0,19,1.0745367586342887
False,False,0,1,19,0.0844377487332986
False,False,2,0,19,0.0844377487332986
False,False,0,2,19,0.0844377487332986
False,False,2,1,19,0.0844377487332986
False,False,1,2,19,1.0745367586342887
False,False,3,0,19,0.8528212622063156
False,False,3,4,19,1.7671610864462286
False,False,4,0,19,0.8699629695766625
False,False,4,1,19,0.8699629695766625
False,False,4,5,19,0.8699629695766625
False,False,6,2,19,0.8699629695766625
False,False,6,3,19,2.735491427313182
False,False,7,8,19,0.8874492252651535
False,False,4,2,19,0.896323717517805
False,False,4,6,19,0.896323717517805
False,False,3,6,19,2.8080382234298646
False,False,6,9,19,0.9234832224823122
False,False,12,2,19,0.9234832224823122
False,False,7,5,19,0.9420452352542067
False,False,7,6,19,0.9420452352542067
False,False,7,12,19,0.9420452352542067
False,False,13,3,19,0.9514656876067488
False,False,13,12,19,0.9514656876067488
False,False,2,4,19,0.9609803444828162
False,False,12,3,19,0.9609803444828162
False,False,12,7,19,0.9609803444828162
False,False,14,6,19,0.9609803444828162
False,False,14,9,19,0.9609803444828162
False,False,1,11,19,0.9900990099009901
False,False,7,9,19,0.9900990099009901
False,False,17,7,19,0.9900990099009901
False,False,17,8,19,0.9900990099009901
False,False,17,15,19,0.9900990099009901
False,False,19,1,19,0.9900990099009901
False,False,19,4,19,0.9900990099009901
False,False,1,0,20,1.0638977808260284
False,False,0,1,20,0.08360173141910753
False,False,2,0,20,0.08360173141910753
False,False,0,2,20,0.08360173141910753
False,False,2,1,20,0.08360173141910753
False,False,1,2,20,1.0638977808260284
False,False,3,0,20,0.8443774873329858
False,False,3,4,20,1.7496644420259688
False,False,4,0,20,0.8613494748283788
False,False,4,1,20,0.8613494748283788
False,False,4,5,20,0.8613494748283788
False,False,6,2,20,0.8613494748283788
False,False,6,3,20,2.7084073537754274
False,False,7,8,20,0.8786625992724292
False,False,4,2,20,0.8874492252651535
False,False,4,6,20,0.8874492252651535
False,False,3,6,20,2.780235864782044
False,False,6,9,20,0.914339824239913
False,False,12,2,20,0.914339824239913
False,False,7,5,20,0.9327180547071353
False,False,7,6,20,0.9327180547071353
False,False,7,12,20,0.9327180547071353
False,False,13,3,20,0.9420452352542067
False,False,13,12,20,1.9321442451551967
False,False,2,4,20,0.9514656876067488
False,False,12,3,20,0.9514656876067488
False,False,12,7,20,0.9514656876067488
False,False,14,6,20,0.9514656876067488
False,False,14,9,20,0.9514656876067488
False,False,1,11,20,0.9802960494069208
False,False,7,9,20,0.9802960494069208
False,False,17,7,20,0.9802960494069208
False,False,17,8,20,0.9802960494069208
False,False,17,15,20,0.9802960494069208
False,False,19,1,20,0.9802960494069208
False,False,19,4,20,0.9802960494069208
False,False,13,15,20,0.9900990099009901
False,False,1,0,21,1.0533641394317113
False,False,0,1,21,0.08277399150406685
False,False,2,0,21,0.08277399150406685
False,False,0,2,21,0.08277399150406685
False,False,2,1,21,0.08277399150406685
False,False,1,2,21,1.0533641394317113
False,False,3,0,21,0.8360173141910751
False,False,3,4,21,1.73234103170888
False,False,4,0,21,0.8528212622063156
False,False,4,1,21,0.8528212622063156
False,False,4,5,21,0.8528212622063156
False,False,6,2,21,0.8528212622063156
False,False,6,3,21,2.681591439381611
False,False,7,8,21,0.8699629695766625
False,False,4,2,21,0.8786625992724292
False,False,4,6,21,0.8786625992724292
False,False,3,6,21,2.7527087770119247
False,False,6,9,21,0.9052869546929831
False,False,12,2,21,0.9052869546929831
False,False,7,5,21,0.9234832224823122
False,False,7,6,21,0.9234832224823122
False,False,7,12,21,0.9234832224823122
False,False,13,3,21,0.9327180547071353
False,False,13,12,21,1.913014104114056
False,False,2,4,21,0.9420452352542067
False,False,12,3,21,0.9420452352542067
False,False,12,7,21,0.9420452352542067
False,False,14,6,21,0.9420452352542067
False,False,14,9,21,0.9420452352542067
False,False,1,11,21,0.9705901479276444
False,False,7,9,21,0.9705901479276444
False,False,17,7,21,0.9705901479276444
False,False,17,8,21,0.9705901479276444
False,False,17,15,21,0.9705901479276444
False,False,19,1,21,0.9705901479276444
False,False,19,4,21,0.9705901479276444
